"filename", "language", "Markdown", "Rust", "comment", "blank", "total"
"/home/t-aelaswar/process-manager/COMPLETE_DOCUMENTATION.md", "Markdown", 383, 0, 0, 86, 469
"/home/t-aelaswar/process-manager/PROJECT_SUMMARY.md", "Markdown", 32, 0, 0, 1, 33
"/home/t-aelaswar/process-manager/README.md", "Markdown", 67, 0, 0, 12, 79
"/home/t-aelaswar/process-manager/src/alerts.rs", "Rust", 0, 1, 0, 0, 1
"/home/t-aelaswar/process-manager/src/anomaly.rs", "Rust", 0, 1, 0, 0, 1
"/home/t-aelaswar/process-manager/src/api.rs", "Rust", 0, 11, 0, 2, 13
"/home/t-aelaswar/process-manager/src/containers.rs", "Rust", 0, 1, 0, 0, 1
"/home/t-aelaswar/process-manager/src/history.rs", "Rust", 0, 17, 0, 2, 19
"/home/t-aelaswar/process-manager/src/main.rs", "Rust", 0, 10, 2, 3, 15
"/home/t-aelaswar/process-manager/src/process.rs", "Rust", 0, 30, 0, 5, 35
"/home/t-aelaswar/process-manager/src/ui.rs", "Rust", 0, 23, 3, 1, 27
"/home/t-aelaswar/process-manager/tests/integration_test.rs", "Rust", 0, -2, 0, -1, -3
"Total", "-", 482, 92, 5, 111, 690